bkg_id;bkg_plt_id;usr_id;pmt_id;bkg_date;bkg_sts
1;31557;96105;13776;2023-12-21T17:21:55;cyan
2;43093;25491;99889;2023-12-21T18:49:28;Islands Synergized Soft
3;11608;96711;44511;2023-12-21T15:24:35;calculate Corporate Customer
4;37349;72436;71573;2023-12-21T13:01:10;backing Refined
5;55477;27795;56176;2023-12-21T13:25:28;Frozen Hollow Industrial
6;11099;98458;29391;2023-12-21T17:33:01;Handcrafted withdrawal COM
7;97951;59875;34453;2023-12-21T14:44:44;protocol
8;33616;24756;24418;2023-12-21T17:53:59;Soap
9;76006;81339;69643;2023-12-21T17:50:55;composite Missouri Shirt
10;7394;85685;74020;2023-12-21T16:34:48;Refined Assurance Kids
