seat_id;shw_id;rw_nam;seat_no;lock;lck_exp;sts;ver
1;61797;olive;58244;initiative Plain;2023-12-21T07:58:39;Fish JBOD COM;86013
2;53982;Orchestrator Towels index;19370;Frozen Pants;2023-12-21T10:14:09;Loan Sleek;91292
3;39146;RAM;556;maroon deposit;2023-12-21T13:23:55;transmit;37173
4;35227;framework Operations ability;55587;Investment drive USB;2023-12-22T01:49:44;Wyoming Gorgeous;92284
5;47219;Skyway Cayman;77334;Gloves Rubber plug-and-play;2023-12-22T01:03:52;Books;59440
6;57225;synthesize Dakota Fort;71243;vertical;2023-12-21T14:14:16;navigate Producer Mobility;89887
7;14048;withdrawal Expanded;46117;clicks-and-mortar Forward;2023-12-22T00:00:39;Pitcairn architect Maryland;42571
8;90423;Wyoming AGP microchip;64888;Practical matrix;2023-12-21T08:03:27;Soap Directives;10087
9;25571;Berkshire Bedfordshire;90322;Toys wireless;2023-12-21T09:32:07;RAM;84309
10;74306;e-business;11346;hack;2023-12-21T13:04:42;Wooden Usability alarm;32473
