shw_id;scn_id;shw_date;strt_time;end_time
1;52860;2023-12-21T11:42:39;2023-12-22T03:15:36;2023-12-21T10:24:56
2;59575;2023-12-21T07:14:09;2023-12-21T09:02:14;2023-12-22T02:58:54
3;23535;2023-12-21T06:55:00;2023-12-21T16:25:06;2023-12-21T13:55:24
4;94027;2023-12-21T09:39:21;2023-12-21T09:46:30;2023-12-22T04:34:11
5;87524;2023-12-21T21:00:41;2023-12-21T07:47:02;2023-12-21T16:53:24
6;56430;2023-12-21T08:23:23;2023-12-22T04:11:53;2023-12-21T20:00:06
7;6969;2023-12-21T17:41:56;2023-12-21T12:53:56;2023-12-21T13:00:09
8;79051;2023-12-21T08:34:48;2023-12-21T08:20:15;2023-12-22T05:03:15
9;45174;2023-12-21T12:16:25;2023-12-22T03:32:39;2023-12-21T23:43:32
10;12714;2023-12-22T05:26:13;2023-12-21T22:12:00;2023-12-22T02:04:23
